message,messagetype
"07/5/2018, 20:11AVAIL BAL IN A/C XXX538: RS. 25737.00 CR07/05/18: 5292.00 DR, TO TRFR07/05/18: 10000.00 CR, CSH DEP (CDM)05/05/18: 3970.00 DR, TO TRFR05/05/18: 400.00 CR, BULK POSTING04/05/18: 5000.00 DR, TO TRFR",Balance
"07/7/2018, 11:50AVAIL BAL IN A/C XXX538: RS. 18690.63 CR06/07/18: 2500.00 CR, CSH DEP (CDM)06/07/18: 500.00 CR, CSH DEP (CDM)06/07/18: 4854.00 DR, TO TRFR06/07/18: 3400.00 CR, CSH DEP (CDM)06/07/18: 5900.00 CR, CSH DEP (CDM)",Balance
"07/7/2018, 14:24AVAIL BAL IN A/C XXX121: RS. 11756.42 CR07/07/18: 11700.00 CR, CASH DEPOSIT30/06/18: 14.16 DR, MONTHLY AVE - BAL NO25/06/18: 1.00 CR, CREDIT INTEREST31/05/18: 14.16 DR, MONTHLY AVE - BAL NO30/04/18: 14.16 DR, MONTHLY AVE - BAL NO",Balance
"09/5/2018, 10:51AVAIL BAL IN A/C XXX538: RS. 13437.00 CR08/05/18: 10000.00 DR, 295700 CHEQUE WDL08/05/18: 7500.00 DR, 295699 TO CLEARING07/05/18: 5200.00 CR, CSH DEP (CDM)07/05/18: 5292.00 DR, TO TRFR07/05/18: 10000.00 CR, CSH DEP (CDM)",Balance
"09/5/2018, 21:05AVAIL BAL IN A/C XXX538: RS. 11393.00 CR09/05/18: 2044.00 DR, TO TRFR08/05/18: 10000.00 DR, 295700 CHEQUE WDL08/05/18: 7500.00 DR, 295699 TO CLEARING07/05/18: 5200.00 CR, CSH DEP (CDM)07/05/18: 5292.00 DR, TO TRFR",Balance
"09/6/2018, 11:48AVAIL BAL IN A/C XXX538: RS. 10569.38 CR09/06/18: 100.00 CR, BULK POSTING06/06/18: 6367.00 DR, TO TRFR05/06/18: 380.00 CR, BULK POSTING04/06/18: 3660.00 DR, TO TRFR04/06/18: 10000.00 CR, CSH DEP (CDM)",Balance
"09/7/2018, 09:32AVAIL BAL IN A/C XXX997: RS. 8447.08 CR04/07/18: 2000.00 DR, TO TRFR02/07/18: 588.82 DR, DEBIT01/07/18: 10000.00 CR, BY TRFR01/07/18: 1.00 CR, BY TRFR29/06/18: 23.60 DR, TO TRFR",Balance
"09/7/2018, 11:38AVAIL BAL IN A/C XXX538: RS. 24886.63 CR09/07/18: 400.00 CR, BULK POSTING08/07/18: 13300.00 CR, CSH DEP (CDM)07/07/18: 18.00 CR, BY TRFR07/07/18: 760.00 DR, TO TRFR07/07/18: 6762.00 DR, TO TRFR",Balance
"09/7/2018, 12:13AVAIL BAL IN A/C XXX538: RS. 15666.63 CR09/07/18: 4436.00 DR, TO TRFR09/07/18: 4784.00 DR, TO TRFR09/07/18: 400.00 CR, BULK POSTING08/07/18: 13300.00 CR, CSH DEP (CDM)07/07/18: 18.00 CR, BY TRFR",Balance
"09/7/2018, 18:39AVAIL BAL IN A/C XXX538: RS. 15666.63 CR09/07/18: 4436.00 DR, TO TRFR09/07/18: 4784.00 DR, TO TRFR09/07/18: 400.00 CR, BULK POSTING08/07/18: 13300.00 CR, CSH DEP (CDM)07/07/18: 18.00 CR, BY TRFR",Balance
"09/8/2018, 19:35AVAIL BAL IN A/C XXX371: RS. 30.21 CR09/08/18: 1.00 CR, BY TRFR08/08/18: 150.00 DR, TO TRFR04/08/18: 111.00 DR, TO TRFR03/08/18: 5500.00 DR, ATM WDL03/08/18: 200.00 DR, TO TRFR",Balance
"10/5/2018, 15:49AVAIL BAL IN A/C XXX538: RS. 11956.88 CR10/05/18: 16.00 CR, BY TRFR10/05/18: 4513.00 DR, TO TRFR10/05/18: 5060.88 CR, BULK POSTING09/05/18: 2044.00 DR, TO TRFR08/05/18: 10000.00 DR, 295700 CHEQUE WDL",Balance
"10/7/2018, 08:53AVAIL BAL IN A/C XXX538: RS. 30666.63 CR10/07/18: 15000.00 CR, CSH DEP (CDM)09/07/18: 4436.00 DR, TO TRFR09/07/18: 4784.00 DR, TO TRFR09/07/18: 400.00 CR, BULK POSTING08/07/18: 13300.00 CR, CSH DEP (CDM)",Balance
"10/8/2018, 11:32AVAIL BAL IN A/C XXX538: RS. 27356.75 CR10/08/18: 17299.10 CR, BULK POSTING09/08/18: 4220.00 DR, TO TRFR09/08/18: 4200.00 CR, CSH DEP (CDM)09/08/18: 8058.00 DR, TO TRFR09/08/18: 7500.00 CR, CSH DEP (CDM)",Balance
"10/8/2018, 15:13AVAIL BAL IN A/C XXX321: RS. 12.00 CR09/08/18: 7000.00 DR, TO TRFR05/08/18: 600.00 CR, BY TRFR05/08/18: 200.00 CR, BY TRFR05/08/18: 2000.00 CR, BY TRFR05/08/18: 2000.00 CR, BY TRFR",Balance
"10/8/2018, 21:40AVAIL BAL IN A/C XXX538: RS. 9525.04 CR10/08/18: 767.00 DR, DEBIT10/08/18: 564.71 DR, DEBIT10/08/18: 7000.00 DR, TO TRFR10/08/18: 9500.00 DR, TO TRFR10/08/18: 17299.10 CR, BULK POSTING",Balance
"11/5/2018, 21:36AVAIL BAL IN A/C XXX538: RS. 10969.88 CR10/05/18: 13.00 CR, BY TRFR10/05/18: 1000.00 DR, TO TRFR10/05/18: 16.00 CR, BY TRFR10/05/18: 4513.00 DR, TO TRFR10/05/18: 5060.88 CR, BULK POSTING",Balance
"11/6/2018, 12:11AVAIL BAL IN A/C XXX538: RS. 10569.38 CR09/06/18: 100.00 CR, BULK POSTING06/06/18: 6367.00 DR, TO TRFR05/06/18: 380.00 CR, BULK POSTING04/06/18: 3660.00 DR, TO TRFR04/06/18: 10000.00 CR, CSH DEP (CDM)",Balance
"11/6/2018, 15:02AVAIL BAL IN A/C XXX538: RS. 11606.63 CR11/06/18: 200.00 CR, BY TRFR11/06/18: 837.25 CR, BULK POSTING09/06/18: 100.00 CR, BULK POSTING06/06/18: 6367.00 DR, TO TRFR05/06/18: 380.00 CR, BULK POSTING",Balance
"11/7/2018, 09:07AVAIL BAL IN A/C XXX698: RS. 13022.78 CR",Balance
"11/7/2018, 13:28AVAIL BAL IN A/C XXX538: RS. 23939.23 CR10/07/18: 20.00 CR, BY TRFR10/07/18: 7000.00 DR, TO TRFR10/07/18: 250.00 CR, BULK POSTING10/07/18: 2.60 CR, BY TRFR10/07/18: 15000.00 CR, CSH DEP (CDM)",Balance
"12/6/2018, 12:20AVAIL BAL IN A/C XXX538: RS. 29322.63 CR12/06/18: 1260.00 CR, BULK POSTING12/06/18: 18000.00 CR, CSH DEP (CDM)11/06/18: 1544.00 DR, TO TRFR11/06/18: 200.00 CR, BY TRFR11/06/18: 837.25 CR, BULK POSTING",Balance
"12/7/2018, 16:15AVAIL BAL IN A/C XXX698: RS. 492.78 CR",Balance
"12/7/2018, 18:45AVAIL BAL IN A/C XXX538: RS. 19029.23 CR11/07/18: 472.00 DR, DEBIT11/07/18: 4438.00 DR, TO TRFR10/07/18: 20.00 CR, BY TRFR10/07/18: 7000.00 DR, TO TRFR10/07/18: 250.00 CR, BULK POSTING",Balance
"12/7/2018, 20:18AVAIL BAL IN A/C XXX698: RS. 492.78 CR",Balance
"12/8/2018, 18:20AVAIL BAL IN A/C XXX538: RS. 12769.04 CR12/08/18: 270.00 CR, BULK POSTING11/08/18: 26.00 DR, TO TRFR10/08/18: 3000.00 CR, CSH DEP (CDM)10/08/18: 767.00 DR, DEBIT10/08/18: 564.71 DR, DEBIT",Balance
"12/8/2018, 18:26AVAIL BAL IN A/C XXX538: RS. 10570.04 CR12/08/18: 2199.00 DR, TO TRFR12/08/18: 270.00 CR, BULK POSTING11/08/18: 26.00 DR, TO TRFR10/08/18: 3000.00 CR, CSH DEP (CDM)10/08/18: 767.00 DR, DEBIT",Balance
"13/5/2018, 22:07AVAIL BAL IN A/C XXX538: RS. 18515.88 CR13/05/18: 1428.00 CR, BULK POSTING12/05/18: 18.00 CR, BY TRFR12/05/18: 2000.00 DR, TO TRFR12/05/18: 8100.00 CR, CSH DEP (CDM)10/05/18: 13.00 CR, BY TRFR",Balance
"13/6/2018, 11:31AVAIL BAL IN A/C XXX538: RS. 19362.63 CR12/06/18: 9000.00 CR, CSH DEP (CDM)12/06/18: 18960.00 DR, TO TRFR12/06/18: 1260.00 CR, BULK POSTING12/06/18: 18000.00 CR, CSH DEP (CDM)11/06/18: 1544.00 DR, TO TRFR",Balance
"13/7/2018, 18:51AVAIL BAL IN A/C XXX538: RS. 13329.23 CR13/07/18: 6000.00 DR, ATM WDL13/07/18: 9500.00 DR, TO TRFR13/07/18: 9800.00 CR, CSH DEP (CDM)11/07/18: 472.00 DR, DEBIT11/07/18: 4438.00 DR, TO TRFR",Balance
"13/7/2018, 18:56AVAIL BAL IN A/C XXX538: RS. 13329.23 CR13/07/18: 6000.00 DR, ATM WDL13/07/18: 9500.00 DR, TO TRFR13/07/18: 9800.00 CR, CSH DEP (CDM)11/07/18: 472.00 DR, DEBIT11/07/18: 4438.00 DR, TO TRFR",Balance
"13/8/2018, 20:17AVAIL BAL IN A/C XXX538: RS. 10870.04 CR13/08/18: 300.00 CR, BULK POSTING12/08/18: 2199.00 DR, TO TRFR12/08/18: 270.00 CR, BULK POSTING11/08/18: 26.00 DR, TO TRFR10/08/18: 3000.00 CR, CSH DEP (CDM)",Balance
"14/5/2018, 18:50AVAIL BAL IN A/C XXX538: RS. 38515.88 CR14/05/18: 19800.00 CR, CASH DEPOSIT14/05/18: 200.00 CR, BULK POSTING13/05/18: 1428.00 CR, BULK POSTING12/05/18: 18.00 CR, BY TRFR12/05/18: 2000.00 DR, TO TRFR",Balance
"14/6/2018, 21:56AVAIL BAL IN A/C XXX538: RS. 19362.63 CR12/06/18: 9000.00 CR, CSH DEP (CDM)12/06/18: 18960.00 DR, TO TRFR12/06/18: 1260.00 CR, BULK POSTING12/06/18: 18000.00 CR, CSH DEP (CDM)11/06/18: 1544.00 DR, TO TRFR",Balance
"14/7/2018, 00:02AVAIL BAL IN A/C XXX538: RS. 11795.65 CR13/07/18: 1533.58 DR, BY DEBIT CARD13/07/18: 6000.00 DR, ATM WDL13/07/18: 9500.00 DR, TO TRFR13/07/18: 9800.00 CR, CSH DEP (CDM)11/07/18: 472.00 DR, DEBIT",Balance
"14/8/2018, 19:37AVAIL BAL IN A/C XXX538: RS. 20398.04 CR14/08/18: 472.00 DR, DEBIT14/08/18: 10000.00 CR, CSH DEP (CDM)13/08/18: 300.00 CR, BULK POSTING12/08/18: 2199.00 DR, TO TRFR12/08/18: 270.00 CR, BULK POSTING",Balance
"14/8/2018, 19:42AVAIL BAL IN A/C XXX538: RS. 20398.04 CR14/08/18: 472.00 DR, DEBIT14/08/18: 10000.00 CR, CSH DEP (CDM)13/08/18: 300.00 CR, BULK POSTING12/08/18: 2199.00 DR, TO TRFR12/08/18: 270.00 CR, BULK POSTING",Balance
"15/5/2018, 09:55AVAIL BAL IN A/C XXX538: RS. 45515.88 CR15/05/18: 12000.00 CR, CSH DEP (CDM)14/05/18: 2500.00 DR, TO TRFR14/05/18: 2500.00 DR, TO TRFR14/05/18: 19800.00 CR, CASH DEPOSIT14/05/18: 200.00 CR, BULK POSTING",Balance
"15/5/2018, 13:43AVAIL BAL IN A/C XXX538: RS. 42178.88 CR15/05/18: 680.00 DR, TO TRFR15/05/18: 22.00 CR, BY TRFR15/05/18: 1104.00 DR, TO TRFR15/05/18: 349.00 DR, BY DEBIT CARD15/05/18: 13.00 CR, BY TRFR",Balance
"15/5/2018, 23:19AVAIL BAL IN A/C XXX538: RS. 42178.88 CR15/05/18: 680.00 DR, TO TRFR15/05/18: 22.00 CR, BY TRFR15/05/18: 1104.00 DR, TO TRFR15/05/18: 349.00 DR, BY DEBIT CARD15/05/18: 13.00 CR, BY TRFR",Balance
"15/6/2018, 10:59AVAIL BAL IN A/C XXX538: RS. 23401.63 CR15/06/18: 5461.00 DR, BY DEBIT CARD15/06/18: 9000.00 DR, 621557 TO CLEARING15/06/18: 18500.00 CR, CSH DEP (CDM)12/06/18: 9000.00 CR, CSH DEP (CDM)12/06/18: 18960.00 DR, TO TRFR",Balance
"15/7/2018, 20:46AVAIL BAL IN A/C XXX538: RS. 12615.65 CR14/07/18: 820.00 CR, BULK POSTING13/07/18: 1533.58 DR, BY DEBIT CARD13/07/18: 6000.00 DR, ATM WDL13/07/18: 9500.00 DR, TO TRFR13/07/18: 9800.00 CR, CSH DEP (CDM)",Balance
"15/8/2018, 21:05AVAIL BAL IN A/C XXX538: RS. 20398.04 CR14/08/18: 472.00 DR, DEBIT14/08/18: 10000.00 CR, CSH DEP (CDM)13/08/18: 300.00 CR, BULK POSTING12/08/18: 2199.00 DR, TO TRFR12/08/18: 270.00 CR, BULK POSTING",Balance
"16/5/2018, 23:56AVAIL BAL IN A/C XXX538: RS. 33378.88 CR16/05/18: 200.00 CR, BULK POSTING16/05/18: 9000.00 DR, 621551 TO CLEARING15/05/18: 680.00 DR, TO TRFR15/05/18: 22.00 CR, BY TRFR15/05/18: 1104.00 DR, TO TRFR",Balance
"16/7/2018, 12:13AVAIL BAL IN A/C XXX698: RS. 492.78 CR",Balance
"16/8/2018, 14:30AVAIL BAL IN A/C XXX356: RS. 21.96 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"16/8/2018, 20:03AVAIL BAL IN A/C XXX912: RS. 279.98 CR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD30/06/18: 11.80 DR, MONTHLY AVE - BAL NO",Balance
"16/8/2018, 21:59AVAIL BAL IN A/C XXX538: RS. 25612.04 CR16/08/18: 10500.00 CR, CSH DEP (CDM)16/08/18: 5286.00 DR, TO TRFR14/08/18: 472.00 DR, DEBIT14/08/18: 10000.00 CR, CSH DEP (CDM)13/08/18: 300.00 CR, BULK POSTING",Balance
"16/8/2018, 22:56AVAIL BAL IN A/C XXX912: RS. 279.98 CR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD30/06/18: 11.80 DR, MONTHLY AVE - BAL NO",Balance
"16/8/2018, 23:59AVAIL BAL IN A/C XXX912: RS. 279.98 CR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD30/06/18: 11.80 DR, MONTHLY AVE - BAL NO",Balance
"17/6/2018, 20:53AVAIL BAL IN A/C XXX538: RS. 23029.63 CR15/06/18: 472.00 DR, DEBIT15/06/18: 100.00 CR, BULK POSTING15/06/18: 5461.00 DR, BY DEBIT CARD15/06/18: 9000.00 DR, 621557 TO CLEARING15/06/18: 18500.00 CR, CSH DEP (CDM)",Balance
"17/7/2018, 12:48AVAIL BAL IN A/C XXX538: RS. 33565.65 CR17/07/18: 2000.00 DR, TO TRFR16/07/18: 13100.00 CR, CSH DEP (CDM)16/07/18: 9000.00 CR, CASH DEPOSIT16/07/18: 850.00 CR, BULK POSTING14/07/18: 820.00 CR, BULK POSTING",Balance
"17/7/2018, 12:49AVAIL BAL IN A/C XXX538: RS. 33565.65 CR17/07/18: 2000.00 DR, TO TRFR16/07/18: 13100.00 CR, CSH DEP (CDM)16/07/18: 9000.00 CR, CASH DEPOSIT16/07/18: 850.00 CR, BULK POSTING14/07/18: 820.00 CR, BULK POSTING",Balance
"17/7/2018, 13:37AVAIL BAL IN A/C XXX538: RS. 33565.65 CR17/07/18: 2000.00 DR, TO TRFR16/07/18: 13100.00 CR, CSH DEP (CDM)16/07/18: 9000.00 CR, CASH DEPOSIT16/07/18: 850.00 CR, BULK POSTING14/07/18: 820.00 CR, BULK POSTING",Balance
"17/8/2018, 05:53AVAIL BAL IN A/C XXX912: RS. 279.98 CR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD30/06/18: 11.80 DR, MONTHLY AVE - BAL NO",Balance
"17/8/2018, 09:16AVAIL BAL IN A/C XXX912: RS. 279.98 CR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD30/06/18: 11.80 DR, MONTHLY AVE - BAL NO",Balance
"18/5/2018, 23:38AVAIL BAL IN A/C XXX538: RS. 34058.88 CR18/05/18: 680.00 CR, BY TRFR16/05/18: 200.00 CR, BULK POSTING16/05/18: 9000.00 DR, 621551 TO CLEARING15/05/18: 680.00 DR, TO TRFR15/05/18: 22.00 CR, BY TRFR",Balance
"18/7/2018, 12:56AVAIL BAL IN A/C XXX538: RS. 23520.65 CR18/07/18: 12.00 CR, BY TRFR18/07/18: 2857.00 DR, TO TRFR18/07/18: 400.00 CR, BULK POSTING18/07/18: 9000.00 DR, 621560 TO CLEARING17/07/18: 1400.00 CR, BULK POSTING",Balance
"18/7/2018, 12:57AVAIL BAL IN A/C XXX538: RS. 23520.65 CR18/07/18: 12.00 CR, BY TRFR18/07/18: 2857.00 DR, TO TRFR18/07/18: 400.00 CR, BULK POSTING18/07/18: 9000.00 DR, 621560 TO CLEARING17/07/18: 1400.00 CR, BULK POSTING",Balance
"18/8/2018, 00:42AVAIL BAL IN A/C XXX912: RS. 279.98 CR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD30/06/18: 11.80 DR, MONTHLY AVE - BAL NO",Balance
"18/8/2018, 21:07AVAIL BAL IN A/C XXX912: RS. 338.98 CR18/08/18: 59.00 CR, BY TRFR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD",Balance
"19/5/2018, 09:16AVAIL BAL IN A/C XXX160: RS. 1254.57 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"19/5/2018, 22:56AVAIL BAL IN A/C XXX538: RS. 31014.88 CR19/05/18: 10000.00 DR, TO TRFR19/05/18: 680.00 CR, BY TRFR19/05/18: 680.00 DR, TO TRFR19/05/18: 1444.00 DR, TO TRFR18/05/18: 680.00 CR, BY TRFR",Balance
"19/5/2018, 22:57AVAIL BAL IN A/C XXX538: RS. 31014.88 CR19/05/18: 10000.00 DR, TO TRFR19/05/18: 680.00 CR, BY TRFR19/05/18: 680.00 DR, TO TRFR19/05/18: 1444.00 DR, TO TRFR18/05/18: 680.00 CR, BY TRFR",Balance
"19/6/2018, 19:25AVAIL BAL IN A/C XXX538: RS. 24229.63 CR19/06/18: 10000.00 DR, 621558 CHEQUE WDL19/06/18: 100.00 CR, BULK POSTING18/06/18: 11100.00 CR, CSH DEP (CDM)15/06/18: 472.00 DR, DEBIT15/06/18: 100.00 CR, BULK POSTING",Balance
"19/7/2018, 10:05AVAIL BAL IN A/C XXX538: RS. 23520.65 CR18/07/18: 12.00 CR, BY TRFR18/07/18: 2857.00 DR, TO TRFR18/07/18: 400.00 CR, BULK POSTING18/07/18: 9000.00 DR, 621560 TO CLEARING17/07/18: 1400.00 CR, BULK POSTING",Balance
"19/7/2018, 14:28AVAIL BAL IN A/C XXX538: RS. 23092.65 CR19/07/18: 200.00 CR, BULK POSTING19/07/18: 628.00 DR, TO TRFR18/07/18: 12.00 CR, BY TRFR18/07/18: 2857.00 DR, TO TRFR18/07/18: 400.00 CR, BULK POSTING",Balance
"19/7/2018, 14:29AVAIL BAL IN A/C XXX538: RS. 23092.65 CR19/07/18: 200.00 CR, BULK POSTING19/07/18: 628.00 DR, TO TRFR18/07/18: 12.00 CR, BY TRFR18/07/18: 2857.00 DR, TO TRFR18/07/18: 400.00 CR, BULK POSTING",Balance
"19/8/2018, 08:30AVAIL BAL IN A/C XXX912: RS. 338.98 CR18/08/18: 59.00 CR, BY TRFR08/08/18: 11.50 DR, MONTHLY AVE - BAL NO08/08/18: 291.48 CR, BY TRFR31/07/18: 0.30 DR, MONTHLY AVE - BAL NO02/07/18: 164.00 DR, BY DEBIT CARD",Balance
"20/2/2018, 15:15AVAIL BAL IN A/C XXX945: RS. 512.83 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"20/3/2018, 12:53AVAIL BAL IN A/C XXX945: RS. 101.43 CRDOWNLOAD YONO WWW.YONOSBI.COM",Balance
"20/6/2018, 17:25AVAIL BAL IN A/C XXX538: RS. 16172.63 CR20/06/18: 399.00 DR, BY DEBIT CARD19/06/18: 14.00 CR, BY TRFR19/06/18: 7672.00 DR, TO TRFR19/06/18: 10000.00 DR, 621558 CHEQUE WDL19/06/18: 100.00 CR, BULK POSTING",Balance
"20/7/2018, 11:56AVAIL BAL IN A/C XXX538: RS. 19592.65 CR19/07/18: 500.00 DR, TO TRFR19/07/18: 3000.00 DR, TO TRFR19/07/18: 200.00 CR, BULK POSTING19/07/18: 628.00 DR, TO TRFR18/07/18: 12.00 CR, BY TRFR",Balance
"20/7/2018, 12:23AVAIL BAL IN A/C XXX538: RS. 19592.65 CR19/07/18: 500.00 DR, TO TRFR19/07/18: 3000.00 DR, TO TRFR19/07/18: 200.00 CR, BULK POSTING19/07/18: 628.00 DR, TO TRFR18/07/18: 12.00 CR, BY TRFR",Balance
"20/7/2018, 12:52AVAIL BAL IN A/C XXX698: RS. 1342.78 CR",Balance
"21/5/2018, 12:15AVAIL BAL IN A/C XXX538: RS. 21178.88 CR21/05/18: 10000.00 DR, 621552 TO DEBIT THROUGH CHEQUE21/05/18: 164.00 CR, BULK POSTING20/05/18: 8400.00 CR, CSH DEP (CDM)19/05/18: 10000.00 DR, TO TRFR19/05/18: 680.00 CR, BY TRFR",Balance
"22/4/2018, 15:34AVAIL BAL IN A/C XXX538: RS. 11212.55 CR21/04/18: 11714.00 DR, TO TRFR20/04/18: 5000.00 DR, 295695 TO CLEARING19/04/18: 12500.00 CR, CSH DEP (CDM)19/04/18: 388.88 CR, BULK POSTING19/04/18: 4400.00 DR, 295693 TO CLEARING",Balance
"22/5/2018, 21:58AVAIL BAL IN A/C XXX538: RS. 48378.88 CR22/05/18: 500.00 CR, BULK POSTING22/05/18: 29700.00 CR, CSH DEP (CDM)21/05/18: 3000.00 DR, TO TRFR21/05/18: 10000.00 DR, 621552 TO DEBIT THROUGH CHEQUE21/05/18: 164.00 CR, BULK POSTING",Balance
"22/6/2018, 11:41AVAIL BAL IN A/C XXX538: RS. 18272.63 CR22/06/18: 2000.00 CR, CASH DEPOSIT22/06/18: 100.00 CR, BULK POSTING20/06/18: 399.00 DR, BY DEBIT CARD19/06/18: 14.00 CR, BY TRFR19/06/18: 7672.00 DR, TO TRFR",Balance
"23/4/2018, 17:22AVAIL BAL IN A/C XXX538: RS. 10495.55 CR23/04/18: 2017.00 DR, TO TRFR23/04/18: 1300.00 CR, CSH DEP (CDM)21/04/18: 11714.00 DR, TO TRFR20/04/18: 5000.00 DR, 295695 TO CLEARING19/04/18: 12500.00 CR, CSH DEP (CDM)",Balance
"23/4/2018, 22:02AVAIL BAL IN A/C XXX538: RS. 9728.55 CR23/04/18: 767.00 DR, DEBIT23/04/18: 2017.00 DR, TO TRFR23/04/18: 1300.00 CR, CSH DEP (CDM)21/04/18: 11714.00 DR, TO TRFR20/04/18: 5000.00 DR, 295695 TO CLEARING",Balance
